Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-HSC-fresh-151027-45'	0	0.266666667	0.105882353	1.227366347	1.310280877	3.114664952	-0.733455314	-1.382077631	-0.318211855	-0.148206247	0.11385667	-0.137234464	0.145147077
'singles-BM0828-HSC-fresh-151027-46'	0	0.266666667	0.105882353	1.638034484	2.640877179	1.725623929	-0.315641627	-1.068153876	0.436923046	0.327631805	-0.025159381	-0.104871824	-0.057952765
'singles-BM0828-HSC-fresh-151027-47'	0	0.266666667	0.105882353	2.585572011	1.364871129	1.990946353	-0.367481794	-0.382719498	0.209787992	0.109504775	0.338026461	-0.316448125	-0.149410877
'singles-BM0828-HSC-fresh-151027-48'	0	0.266666667	0.105882353	3.072909807	1.672651885	1.070710326	-0.629417239	-0.285823761	0.263969447	0.046865201	0.378395218	0.097338948	0.024271153
'singles-BM0828-HSC-fresh-151027-49'	0	0.266666667	0.105882353	2.139231564	1.659274052	2.056778158	-0.662367163	-1.314958017	0.130316805	0.278196148	0.070701869	-0.184083213	-0.046709446
'singles-BM0828-HSC-fresh-151027-50'	0	0.266666667	0.105882353	2.690723083	0.903398274	0.333111495	-0.769060267	-0.067215736	0.617613093	-0.356190358	-0.008381191	0.333593692	-0.048124874
'singles-BM0828-HSC-fresh-151027-51'	0	0.266666667	0.105882353	2.200337472	2.410796763	1.535440717	-0.480880757	-0.805883477	0.395171363	0.296960032	0.218990605	0.016958324	0.055987428
'singles-BM0828-HSC-fresh-151027-52'	0	0.266666667	0.105882353	2.465743455	1.260946146	2.345374841	-0.471958057	-0.833403813	-0.044435364	0.074674305	0.167528528	-0.302326203	-0.047397321
'singles-BM0828-HSC-fresh-151027-53'	0	0.266666667	0.105882353	3.209666042	1.372634858	1.06042713	-0.65936677	-0.437819567	0.361784348	-0.024420006	0.146505752	0.053510045	-0.034002488
'singles-BM0828-HSC-fresh-151027-55'	0	0.266666667	0.105882353	2.884542867	1.652027723	1.857912361	-0.229067444	-0.794506547	-0.090908494	0.110330484	0.195074597	0.230789043	-0.063917259
'singles-BM0828-HSC-fresh-151027-56'	0	0.266666667	0.105882353	1.625932731	2.607106347	1.085432873	-0.453923207	-0.826963405	0.706550825	0.25862208	-0.042359198	0.315443637	-0.067568405
'singles-BM0828-HSC-fresh-151027-57'	0	0.266666667	0.105882353	0.348022616	2.934565253	2.377740777	-0.874709005	-1.551443571	0.174656023	0.393681476	-0.028729622	0.063750233	0.047558634
'singles-BM0828-HSC-fresh-151027-58'	0	0.266666667	0.105882353	1.520834004	2.405206319	1.658937949	-0.825462409	-1.168032764	0.539692968	0.098933439	0.072605642	0.196967192	0.14036768
'singles-BM0828-HSC-fresh-151027-59'	0	0.266666667	0.105882353	2.21717127	2.169616487	1.561366427	-0.687262811	-0.942026006	0.364557302	0.244982621	0.196015284	-0.096444371	-0.023209464
'singles-BM0828-HSC-fresh-151027-60'	0	0.266666667	0.105882353	1.403711827	2.029034245	1.385974317	-0.712793365	-0.330465103	0.917075979	-0.080287031	0.220390188	0.1563357	0.133933245
'singles-BM0828-HSC-fresh-151027-61'	0	0.266666667	0.105882353	2.020009683	2.392904075	1.404816439	-0.353598854	-0.723177783	0.400400444	0.253244308	0.406479215	-0.077141333	0.217767196
'singles-BM0828-HSC-fresh-151027-63'	0	0.266666667	0.105882353	2.672251364	1.382275158	1.191810799	-0.89167458	-0.618516059	0.284640637	-0.294219222	-0.159716172	0.2732443	-0.042801309
'singles-BM0828-HSC-fresh-151027-64'	0	0.266666667	0.105882353	2.058324927	1.416822913	2.306744764	-0.724601153	-1.017082169	0.077612358	0.162769653	0.37174424	-0.238007075	0.031743885
'singles-BM0828-HSC-fresh-151027-65'	0	0.266666667	0.105882353	2.808211793	1.359871418	1.827694954	-0.474809509	-0.796291723	0.133006923	0.175393552	0.335458515	-0.244643822	-0.100984473
'singles-BM0828-HSC-fresh-151027-66'	0	0.266666667	0.105882353	1.947865339	2.455980555	1.589127179	-0.541526549	-0.696589123	0.53147305	0.20269755	0.129642188	-0.004245955	0.042207149
'singles-BM0828-HSC-fresh-151027-67'	0	0.266666667	0.105882353	1.810586427	2.742358892	1.063696117	-0.735711614	-0.861271742	0.529886883	0.112156002	-0.066253591	0.160330976	0.033468813
'singles-BM0828-HSC-fresh-151027-68'	0	0.266666667	0.105882353	1.715979461	2.139256732	2.318672583	-0.600476545	-1.225920153	0.069506314	0.129470621	0.09305302	-0.181096	-0.009515731
'singles-BM0828-HSC-fresh-151027-70'	0	0.266666667	0.105882353	2.253252691	1.749479179	2.217711327	-0.679803096	-0.77064441	0.03598595	0.124101896	0.057472744	-0.244601509	-0.027847961
'singles-BM0828-HSC-fresh-151027-71'	0	0.266666667	0.105882353	0.556285325	2.419505202	2.841129389	-0.633531623	-1.570934284	0.089133155	0.247375775	0.104044737	0.217699242	0.171626465
'singles-BM0828-HSC-fresh-151027-72'	0	0.266666667	0.105882353	1.567456265	1.639618824	1.057387915	-0.922530962	-0.516410088	0.952647363	-0.228456624	0.178857974	0.274287242	0.02008547
'singles-BM0828-HSC-fresh-151027-73'	0	0.266666667	0.105882353	2.859513991	1.634353302	1.375907384	-0.481266697	-0.64435113	0.276717885	0.337786149	0.310303901	-0.267799943	0.029327543
'singles-BM0828-HSC-fresh-151027-74'	0	0.266666667	0.105882353	2.52972422	1.8991669	2.128956275	-0.226533772	-0.800687526	-0.035024523	0.147329053	0.078611607	-0.173411191	0.051091884
'singles-BM0828-HSC-fresh-151027-76'	0	0.266666667	0.105882353	1.732612773	-0.827190122	2.977493267	-0.079372931	-0.097097066	-0.826132636	-0.515859354	-0.017645473	-0.368556246	-0.065863713
